id,player,height,weight,college,age,two_points,two_point_percentage,fta,ast,pts,mayor500
2742,Tyler Honeycutt,206,98,Hardin-Simmons University,30,94,42%,69,97,229,0
2743,Dennis Horner,206,98,Hardin-Simmons University,31,90,46%,92,77,242,0
2744,Kyrie Irving,206,98,Hardin-Simmons University,32,61,40%,42,43,144,0
2745,Reggie Jackson,206,98,Hardin-Simmons University,33,72,49%,89,14,203,0
2746,Charles Jenkins,211,99,Marquette University,25,446,49%,224,132,1044,1
2747,Carldell Johnson,211,99,Marquette University,26,563,45%,260,163,1298,1
2748,Ivan Johnson,211,99,Marquette University,27,450,46%,212,104,1055,1
2749,JaJuan Johnson,211,99,Marquette University,28,525,47%,250,131,1230,1
2750,Jerome Jordan,211,99,Marquette University,29,472,44%,215,181,1102,1
2751,Cory Joseph,211,99,Marquette University,30,372,49%,169,151,869,1
2752,Brandon Knight,211,99,Marquette University,31,378,51%,193,153,882,1
2753,Malcolm Lee,211,99,Marquette University,32,74,43%,46,64,184,0
2754,Kawhi Leonard,201,89,Florida State University,23,31,43%,9,5,69,0
2755,Travis Leslie,196,95,Virginia Commonwealth University,23,74,47%,40,30,170,0
2756,Jon Leuer,183,79,Seattle University,22,142,43%,56,45,327,0
2757,DeAndre Liggins,183,79,Seattle University,23,73,40%,56,26,191,0
2758,Shelvin Mack,198,92,Gardner-Webb University,20,527,43%,544,138,1442,1
2759,Vernon Macklin,198,92,Gardner-Webb University,21,586,50%,656,150,1660,1
2760,Darius Morris,198,92,Gardner-Webb University,22,689,49%,577,133,1790,1
2761,Daniel Orton,198,92,Gardner-Webb University,23,593,48%,575,141,1623,1
2762,Jeremy Pargo,198,92,Gardner-Webb University,24,650,47%,677,119,1795,1
2763,Chandler Parsons,198,92,Gardner-Webb University,25,535,46%,646,101,1559,1
2764,Josh Selby,198,92,Gardner-Webb University,26,500,46%,577,79,1454,1
2765,Iman Shumpert,198,92,Gardner-Webb University,27,461,49%,491,96,1298,1
2766,Xavier Silas,198,92,Gardner-Webb University,28,318,48%,392,97,932,1
2767,Chris Singleton,198,92,Gardner-Webb University,29,505,48%,517,135,1430,1
2768,Donald Sloan,198,92,Gardner-Webb University,30,107,42%,122,35,308,0
2769,Nolan Smith,190,79,Syracuse University,22,24,37%,18,14,60,0
2770,Greg Stiemsma,190,79,Syracuse University,23,15,35%,9,20,36,0
2771,Julyan Stone,198,102,University of Missouri,22,31,37%,21,16,79,0
2772,Isaiah Thomas,198,102,University of Missouri,23,283,41%,229,83,757,1
2773,Lance Thomas,198,102,University of Missouri,24,181,48%,138,50,471,0
2774,Malcolm Thomas,198,102,University of Missouri,25,71,44%,61,26,183,0
2775,Trey Thompkins,203,108,"California State University, Long Beach",23,378,49%,144,163,860,1
2776,Klay Thompson,203,108,"California State University, Long Beach",24,394,47%,169,203,914,1
2777,Tristan Thompson,203,108,"California State University, Long Beach",25,258,44%,158,124,634,1
2778,Edwin Ubiles,203,108,"California State University, Long Beach",25,114,44%,78,55,287,0
2779,Nikola Vucevic,203,108,"California State University, Long Beach",25,144,44%,80,69,347,0
2780,Kemba Walker,208,90,Virginia Commonwealth University,24,2,18%,2,1,5,0
2781,Derrick Williams,206,99,University of Washington,24,140,50%,55,88,325,0
2782,Elliot Williams,206,99,University of Washington,25,199,49%,120,115,485,0
2783,Jordan Williams,206,99,University of Washington,25,194,50%,120,105,475,0
2784,Chris Wright,206,99,University of Washington,26,147,48%,88,63,361,0
2785,Quincy Acy,206,99,University of Washington,27,387,45%,214,190,949,1
2786,Will Barton,206,99,University of Washington,28,372,49%,132,184,852,1
2787,Aron Baynes,206,99,University of Washington,29,301,50%,182,144,761,1
2788,Kent Bazemore,206,99,University of Washington,30,332,52%,278,168,889,1
2789,Bradley Beal,206,99,University of Washington,31,174,48%,126,142,456,0
2790,Patrick Beverley,206,99,University of Washington,32,158,43%,94,95,400,0
2791,Chris Copeland,206,99,University of Washington,32,89,39%,62,59,230,0
2792,Jae Crowder,206,99,University of Washington,32,69,50%,32,36,170,0
2793,Jared Cunningham,206,99,University of Washington,33,113,49%,78,99,290,0
2794,Anthony Davis,190,86,University of Hawaii,23,367,41%,241,314,902,1
2795,Andre Drummond,190,86,University of Hawaii,24,469,41%,305,374,1154,1
2796,Kim English,190,86,University of Hawaii,25,371,45%,313,598,975,1
2797,Festus Ezeli,190,86,University of Hawaii,25,196,43%,168,386,518,1
2798,Draymond Green,190,86,University of Hawaii,25,175,47%,145,212,457,0
2799,Ben Hansbrough,190,86,University of Hawaii,26,339,43%,240,406,857,1
2800,Maurice Harkless,190,86,University of Hawaii,27,299,47%,195,419,754,1
2801,John Henson,190,86,University of Hawaii,28,154,48%,77,274,364,0
2802,Justin Holiday,190,86,University of Hawaii,29,137,42%,95,307,352,0
2803,Bernard James,190,86,University of Hawaii,30,183,46%,150,306,471,0
2804,John Jenkins,190,86,University of Hawaii,31,107,41%,57,138,259,0
2805,Orlando Johnson,183,81,Guilford College,22,73,42%,62,96,182,0
2806,Darius Johnson-Odom,183,81,Guilford College,22,69,42%,62,93,174,0
2807,DeQuan Jones,201,90,Ohio State University,23,96,40%,71,30,243,0
2808,Kevin Jones,203,95,Grambling State University,22,370,48%,189,66,887,1
2809,Perry Jones,203,95,Grambling State University,23,262,44%,204,59,677,1
2810,Terrence Jones,203,95,Grambling State University,24,238,49%,114,55,565,1
2811,Kris Joseph,203,95,Grambling State University,25,428,50%,157,112,973,1
2812,Michael Kidd-Gilchrist,203,95,Grambling State University,26,311,49%,140,78,727,1
2813,Doron Lamb,208,86,Aurora University,22,53,45%,58,20,143,0
2814,Jeremy Lamb,208,86,Aurora University,23,478,46%,360,130,1239,1
2815,Meyers Leonard,208,86,Aurora University,24,538,45%,407,195,1400,1
2816,Damian Lillard,208,86,Aurora University,25,561,46%,446,267,1484,1
2817,Scott Machado,208,86,Aurora University,26,496,45%,329,380,1265,1
2818,Kendall Marshall,208,86,Aurora University,27,583,47%,482,344,1566,1
2819,Fab Melo,208,86,Aurora University,28,376,45%,332,286,1023,1
2820,Khris Middleton,208,86,Aurora University,29,371,50%,291,215,978,1
2821,Darius Miller,208,86,Aurora University,30,388,44%,380,255,1097,1
2822,Quincy Miller,208,86,Aurora University,30,30,47%,9,11,67,0
2823,Arnett Moultrie,208,86,Aurora University,30,197,41%,201,144,564,1
2824,Andrew Nicholson,208,86,Aurora University,30,161,47%,170,100,466,0
2825,Kyle O'Quinn,208,86,Aurora University,31,354,43%,432,219,1062,1
2826,Miles Plumlee,208,86,Aurora University,32,297,43%,316,149,875,1
2827,Austin Rivers,208,86,Aurora University,33,209,43%,233,217,616,1
2828,Brian Roberts,193,85,Grambling State University,30,207,52%,142,162,517,1
2829,Thomas Robinson,193,85,Grambling State University,31,153,50%,94,120,378,0
2830,Terrence Ross,193,85,Grambling State University,32,2,22%,4,1,6,0
2831,Robert Sacre,198,89,Purdue University,24,31,40%,22,6,80,0
2832,Mike Scott,213,111,University of Tennessee,23,33,40%,29,41,90,0
2833,Henry Sims,213,111,University of Tennessee,24,8,40%,7,12,20,0
2834,Kyle Singler,193,81,Vanderbilt University,22,55,39%,25,25,126,0
2835,Jared Sullinger,183,74,Miami University,23,86,45%,39,177,202,0
2836,Jeffery Taylor,183,74,Miami University,24,22,34%,30,48,70,0
2837,Tyshawn Taylor,198,86,"California State University, Long Beach",22,70,39%,37,24,168,0
2838,Marquis Teague,198,86,"California State University, Long Beach",23,191,42%,56,68,422,0
2839,Jarvis Varnado,198,86,"California State University, Long Beach",24,8,24%,4,7,19,0
2840,Dion Waiters,183,77,University of Arizona,19,144,45%,45,101,319,0
2841,Maalik Wayns,183,77,University of Arizona,20,449,47%,180,338,1043,1
2842,Tony Wroten,183,77,University of Arizona,21,329,52%,114,243,748,1
2843,Tyler Zeller,183,77,University of Arizona,22,600,50%,298,356,1414,1
2844,Steven Adams,183,77,University of Arizona,23,444,50%,237,331,1058,1
2845,Anthony Bennett,183,77,University of Arizona,23,325,48%,183,249,786,1
2846,Vander Blue,183,77,University of Arizona,23,119,55%,54,82,272,0
2847,Lorenzo Brown,183,77,University of Arizona,24,273,50%,106,254,629,1
2848,Reggie Bullock,183,77,University of Arizona,24,14,39%,2,16,30,0
2849,Trey Burke,183,77,University of Arizona,24,259,51%,104,238,599,1
2850,Dwight Buycks,190,79,University of Arizona,21,23,52%,3,4,48,0
2851,Nick Calathes,190,79,University of Arizona,22,183,43%,24,66,386,0
2852,Kentavious Caldwell-Pope,190,79,University of Arizona,25,71,43%,23,24,161,0
2853,Isaiah Canaan,206,102,University of San Francisco,23,188,44%,49,119,411,0
2854,Michael Carter-Williams,206,102,University of San Francisco,24,234,48%,42,96,492,0
2855,Dionte Christmas,206,102,University of San Francisco,25,173,52%,24,88,358,0
2856,Ian Clark,206,102,University of San Francisco,26,72,43%,13,30,153,0
2857,Robert Covington,206,102,University of San Francisco,26,13,46%,2,9,26,0
2858,Allen Crabbe,206,102,University of San Francisco,26,59,42%,11,21,127,0
2859,Seth Curry,206,102,University of San Francisco,27,262,50%,73,122,575,1
2860,Troy Daniels,206,102,University of San Francisco,28,364,52%,161,189,874,1
2861,Brandon Davies,206,102,University of San Francisco,29,189,52%,88,81,449,0
2862,Dewayne Dedmon,206,102,University of San Francisco,30,32,37%,16,22,74,0
2863,Matthew Dellavedova,206,102,University of San Francisco,30,9,33%,4,7,21,0
2864,Gorgui Dieng,206,102,University of San Francisco,30,23,39%,12,15,53,0
2865,Carrick Felix,201,102,Tennessee State University,23,191,49%,115,40,442,0
2866,Jamaal Franklin,201,102,Tennessee State University,24,354,45%,314,113,919,1
2867,Archie Goodwin,201,102,Tennessee State University,25,574,48%,430,142,1462,1
2868,Jorge Gutierrez,201,102,Tennessee State University,25,264,48%,189,45,656,1
2869,Justin Hamilton,201,102,Tennessee State University,25,310,48%,241,97,806,1
2870,Solomon Hill,201,102,Tennessee State University,26,748,44%,572,171,1862,1
2871,Scotty Hopson,201,102,Tennessee State University,27,566,49%,462,113,1456,1
2872,Robbie Hummel,201,102,Tennessee State University,27,397,49%,339,74,1039,1
2873,Ryan Kelly,201,102,Tennessee State University,27,169,51%,123,39,417,0
2874,Shane Larkin,201,102,Tennessee State University,28,545,51%,487,142,1415,1
2875,Alex Len,201,102,Tennessee State University,29,647,51%,396,206,1543,1
2876,Ray McCallum,201,102,Tennessee State University,30,578,51%,371,179,1414,1
2877,Ben McLemore,201,102,Tennessee State University,31,326,46%,201,145,770,1
2878,Gal Mekel,201,102,Tennessee State University,32,284,49%,206,94,701,1
2879,Tony Mitchell,201,102,Tennessee State University,33,2,40%,2,3,4,0
2880,Shabazz Muhammad,196,98,University of Michigan,23,150,41%,165,45,424,0
2881,Toure' Murry,196,98,University of Michigan,24,483,48%,344,107,1232,1
2882,Mike Muscala,196,98,University of Michigan,25,435,43%,370,189,1158,1
2883,James Nunnally,196,98,University of Michigan,26,523,45%,469,278,1398,1
2884,Victor Oladipo,196,98,University of Michigan,27,603,48%,523,348,1623,1
2885,Kelly Olynyk,196,98,University of Michigan,28,283,46%,239,173,747,1
2886,Arinze Onuaku,196,98,University of Michigan,29,500,47%,343,257,1292,1
2887,Mason Plumlee,196,98,University of Michigan,30,385,48%,294,284,1073,1
2888,Otto Porter,196,98,University of Michigan,33,2,33%,3,3,6,0
2889,Phil Pressey,201,95,Syracuse University,23,176,43%,95,80,418,0
2890,Andre Roberson,201,95,Syracuse University,24,28,44%,11,13,62,0
2891,Peyton Siva,201,95,Syracuse University,25,184,47%,53,85,403,0
2892,Tony Snell,201,95,Syracuse University,26,99,42%,36,46,224,0
2893,James Southerland,201,95,Syracuse University,26,30,33%,17,11,74,0
2894,Adonis Thomas,201,95,Syracuse University,26,69,48%,19,35,150,0
2895,Hollis Thompson,196,88,University of Maryland Eastern Shore,22,142,41%,97,85,347,0
2896,Casper Ware,196,88,University of Maryland Eastern Shore,23,132,46%,80,67,313,0
2897,Jeff Withey,193,83,University of San Francisco,22,221,48%,158,135,569,1
2898,Nate Wolters,193,83,University of San Francisco,23,659,48%,410,362,1641,1
2899,Cody Zeller,193,83,University of San Francisco,24,631,48%,376,328,1557,1
2900,Jordan Adams,193,83,University of San Francisco,25,648,47%,389,393,1612,1
2901,Kyle Anderson,193,83,University of San Francisco,26,489,50%,255,261,1172,1
2902,Cameron Bairstow,193,83,University of San Francisco,27,318,48%,171,187,792,1
2903,Tarik Black,193,83,University of San Francisco,28,515,50%,313,372,1279,1
2904,Jabari Brown,193,83,University of San Francisco,29,335,46%,223,307,848,1
2905,Markel Brown,193,83,University of San Francisco,29,248,45%,168,233,634,1
2906,Will Cherry,193,83,University of San Francisco,29,87,48%,55,74,214,0
2907,Jordan Clarkson,193,83,University of San Francisco,30,172,44%,133,216,454,0
2908,Jack Cooley,206,102,University of Utah,21,378,49%,146,93,851,1
2909,Bryce Cotton,206,102,University of Utah,22,248,47%,119,58,576,1
2910,Spencer Dinwiddie,206,102,University of Utah,23,95,47%,57,21,231,0
2911,Cleanthony Early,190,83,Providence College,23,72,45%,33,49,173,0
2912,James Ennis,190,83,Providence College,24,170,44%,91,128,408,0
2913,Tyler Ennis,190,83,Providence College,25,179,41%,58,117,404,0
2914,Tim Frazier,190,83,Providence College,26,206,43%,71,111,466,0
2915,Langston Galloway,190,83,Providence College,27,128,37%,60,112,300,0
2916,Aaron Gordon,190,83,Providence College,27,76,36%,41,77,183,0
2917,Drew Gordon,190,83,Providence College,27,52,39%,19,35,117,0
2918,Jerami Grant,190,83,Providence College,30,13,41%,2,7,30,0
2919,Erick Green,188,90,Marquette University,27,306,44%,214,225,780,1
2920,JaMychal Green,203,86,University of Arkansas,23,16,43%,17,5,43,0
2921,Gary Harris,203,86,University of Arkansas,25,137,57%,159,27,359,0
2922,Joe Harris,183,83,State University of West Georgia,23,111,40%,117,192,302,0
2923,Rodney Hood,183,83,State University of West Georgia,24,143,39%,108,288,370,0
2924,Cory Jefferson,183,83,State University of West Georgia,25,157,45%,115,254,403,0
2925,Grant Jerrett,183,83,State University of West Georgia,26,287,45%,221,453,733,1
2926,Nick Johnson,183,83,State University of West Georgia,27,208,46%,175,321,553,1
2927,Tyler Johnson,183,83,State University of West Georgia,28,257,46%,243,607,712,1
2928,Sean Kilpatrick,183,83,State University of West Georgia,29,70,44%,111,253,234,0
2929,Alex Kirk,183,83,State University of West Georgia,30,153,42%,194,398,456,0
2930,Zach LaVine,183,83,State University of West Georgia,31,112,47%,149,264,346,0
2931,Devyn Marble,183,83,State University of West Georgia,32,30,35%,27,81,90,0
2932,Doug McDermott,211,95,"University of California, Los Angeles",22,177,51%,137,167,448,0
2933,Mitch McGary,211,95,"University of California, Los Angeles",23,345,47%,228,220,823,1
2934,Jerel McNeal,211,95,"University of California, Los Angeles",24,491,53%,327,245,1210,1
2935,Elijah Millsap,211,95,"University of California, Los Angeles",25,460,52%,246,291,1097,1
2936,Eric Moreland,211,95,"University of California, Los Angeles",27,81,50%,54,34,194,0
2937,Shabazz Napier,211,95,"University of California, Los Angeles",30,200,53%,117,120,465,0
2938,Nerlens Noel,211,95,"University of California, Los Angeles",31,288,56%,154,183,668,1
2939,Johnny O'Bryant,211,95,"University of California, Los Angeles",32,269,52%,203,156,676,1
2940,Jabari Parker,211,95,"University of California, Los Angeles",33,231,56%,202,165,606,1
2941,Adreian Payne,211,95,"University of California, Los Angeles",34,10,39%,15,9,28,0
2942,Elfrid Payton,188,74,Georgia Southern University,22,4,19%,2,16,10,0
2943,Dwight Powell,201,97,University of Colorado,22,375,47%,170,129,889,1
2944,Julius Randle,201,97,University of Colorado,23,538,46%,245,199,1267,1
2945,JaKarr Sampson,201,97,University of Colorado,24,521,46%,241,227,1248,1
2946,Marcus Smart,201,97,University of Colorado,25,607,51%,254,201,1435,1
2947,Russ Smith,201,97,University of Colorado,26,561,53%,271,144,1338,1
2948,Nik Stauskas,201,97,University of Colorado,27,562,52%,181,145,1290,1
2949,David Stockton,201,97,University of Colorado,28,660,49%,204,226,1535,1
2950,Jarnell Stokes,201,97,University of Colorado,29,255,45%,90,133,591,1
2951,Noah Vonleh,201,97,University of Colorado,30,364,48%,107,117,843,1
2952,Travis Wear,201,97,University of Colorado,30,271,48%,77,86,634,1
2953,Shayne Whittington,201,97,University of Colorado,30,93,48%,30,31,209,0
2954,Andrew Wiggins,201,97,University of Colorado,31,146,46%,35,67,327,0
2955,James Young,201,97,University of Colorado,32,203,48%,55,94,499,0
2956,Justin Anderson,201,97,University of Colorado,33,269,48%,68,83,634,1
2957,Keith Appling,201,97,University of Colorado,34,8,32%,2,6,20,0
2958,Devin Booker,201,90,University of Detroit Mercy,24,42,42%,22,22,99,0
2959,Anthony Brown,198,86,"University of California, Los Angeles",21,502,44%,218,183,1164,1
2960,Willie Cauley-Stein,198,86,"University of California, Los Angeles",22,617,46%,294,167,1461,1
2961,Rakeem Christmas,198,86,"University of California, Los Angeles",23,548,48%,310,211,1343,1
2962,Pat Connaughton,198,86,"University of California, Los Angeles",24,277,44%,148,182,660,1
2963,Branden Dawson,198,86,"University of California, Los Angeles",25,626,50%,362,227,1524,1
2964,Bryce Dejean-Jones,198,86,"University of California, Los Angeles",26,723,54%,234,250,1644,1
2965,Sam Dekker,198,86,"University of California, Los Angeles",27,785,53%,335,235,1827,1
2966,Jarell Eddie,198,86,"University of California, Los Angeles",28,744,53%,336,143,1734,1
